,date,actions
0,2023-08-16,[-100]
1,2023-08-17,[-100]
2,2023-08-18,[-100]
3,2023-08-21,[-100]
4,2023-08-22,[-1]
5,2023-08-23,[0]
6,2023-08-24,[0]
7,2023-08-25,[0]
8,2023-08-28,[0]
9,2023-08-29,[0]
10,2023-08-30,[0]
11,2023-08-31,[0]
12,2023-09-01,[0]
13,2023-09-05,[0]
14,2023-09-06,[0]
15,2023-09-07,[0]
16,2023-09-08,[0]
17,2023-09-11,[0]
18,2023-09-12,[0]
19,2023-09-13,[0]
20,2023-09-14,[0]
21,2023-09-15,[0]
22,2023-09-18,[0]
23,2023-09-19,[0]
24,2023-09-20,[0]
25,2023-09-21,[0]
26,2023-09-22,[0]
27,2023-09-25,[0]
28,2023-09-26,[0]
29,2023-09-27,[0]
30,2023-09-28,[0]
31,2023-09-29,[0]
32,2023-10-02,[0]
33,2023-10-03,[0]
34,2023-10-04,[0]
35,2023-10-05,[0]
36,2023-10-06,[0]
37,2023-10-09,[0]
38,2023-10-10,[0]
39,2023-10-11,[0]
40,2023-10-12,[0]
41,2023-10-13,[0]
42,2023-10-16,[0]
43,2023-10-17,[0]
44,2023-10-18,[0]
45,2023-10-19,[0]
46,2023-10-20,[0]
47,2023-10-23,[0]
48,2023-10-24,[0]
49,2023-10-25,[0]
50,2023-10-26,[0]
51,2023-10-27,[0]
52,2023-10-30,[0]
53,2023-10-31,[0]
54,2023-11-01,[0]
55,2023-11-02,[0]
56,2023-11-03,[0]
57,2023-11-06,[0]
58,2023-11-07,[0]
